Timestamp;Parked;Latitude;Longitude;Speed;DestinationLatitude;DestinationLongitude;EnteredGeofence
2018-05-21 07:05:52.0;NO;-90,3783;-47,31;0;-256,832;-78,1083;NULL
2018-05-21 07:06:32.0;NO;-90,3783;-47,31;0;-256,832;-78,1083;NULL
2018-05-21 07:06:52.0;NO;-90,3783;-47,31;0;-256,832;-78,1083;NULL
2018-05-21 07:07:12.0;NO;-90,3783;-47,31;0;-256,832;-78,1083;NULL
2018-05-21 07:07:52.0;NO;-90,5767;-47,3866;7,3823514;-256,832;-78,1083;NULL
2018-05-21 07:08:12.0;NO;-90,9033;-47,565;7,065489;-256,832;-78,1083;NULL
2018-05-21 07:08:32.0;NO;-91,24;-47,8183;11,462658;-256,832;-78,1083;NULL
2018-05-21 07:08:52.0;NO;-91,5183;-48,14;0;-256,832;-78,1083;NULL
2018-05-21 07:09:32.0;NO;-91,5183;-48,14;0;-256,832;-78,1083;NULL
2018-05-21 07:09:52.0;NO;-91,5183;-48,14;0;-256,832;-78,1083;NULL
2018-05-21 07:10:12.0;NO;-91,5183;-48,14;0;-256,832;-78,1083;NULL
2018-05-21 07:10:52.0;NO;-91,65;-48,3683;0;-256,832;-78,1083;NULL
2018-05-21 07:11:12.0;NO;-91,65;-48,3683;0;-256,832;-78,1083;NULL
2018-05-21 07:11:32.0;NO;-92,33;-49,6583;36,518925;-256,832;-78,1083;NULL
2018-05-21 07:11:52.0;NO;-93,125;-52,1583;49,571453;-256,832;-78,1083;NULL
2018-05-21 07:12:12.0;NO;-92,8983;-56,5716;75,88961;-256,832;-78,1083;NULL
2018-05-21 07:12:52.0;NO;-92,8833;-66,96;74,73891;-256,832;-78,1083;NULL
2018-05-21 07:13:12.0;NO;-93,5917;-71,3466;63,38001;-256,832;-78,1083;NULL
2018-05-21 07:13:32.0;NO;-94,5;-75,2483;62,913055;-256,832;-78,1083;NULL
2018-05-21 07:13:52.0;NO;-96,16;-79,525;73,30653;-256,832;-78,1083;NULL
2018-05-21 07:14:12.0;NO;-97,6283;-84,22;77,40166;-256,832;-78,1083;NULL
2018-05-21 07:14:32.0;NO;-97,795;-88,645;69,574585;-256,832;-78,1083;NULL
2018-05-21 07:14:52.0;NO;-97,2667;-93,385;70,75124;-256,832;-78,1083;NULL
2018-05-21 07:15:12.0;NO;-96,9067;-98,4416;79,01747;-256,832;-78,1083;NULL
2018-05-21 07:15:32.0;NO;-97,7583;-103,92;85,15276;-256,832;-78,1083;NULL
2018-05-21 07:16:12.0;NO;-100,645;-114,6;89,620346;-256,832;-78,1083;NULL
2018-05-21 07:16:52.0;NO;-105,5383;-122,4583;75,730255;-256,832;-78,1083;NULL
2018-05-21 07:17:12.0;NO;-107,4183;-127,2366;84,098404;-256,832;-78,1083;NULL
2018-05-21 07:17:52.0;NO;-109,7833;-137,7233;65,89824;-256,832;-78,1083;NULL
2018-05-21 07:18:12.0;NO;-111,4133;-140,4716;45,56156;-256,832;-78,1083;NULL
2018-05-21 07:18:32.0;NO;-112,595;-142,235;24,146442;-256,832;-78,1083;NULL
2018-05-21 07:18:52.0;NO;-113,175;-143,1833;0;-256,832;-78,1083;NULL
2018-05-21 07:19:12.0;NO;-113,3033;-143,4016;3,778267;-256,832;-78,1083;NULL
2018-05-21 07:19:52.0;NO;-113,38;-143,54;0;-256,832;-78,1083;NULL
2018-05-21 07:20:12.0;NO;-113,4633;-143,685;13,832645;-256,832;-78,1083;NULL
2018-05-21 07:20:32.0;NO;-113,7417;-144,13;0;-256,832;-78,1083;NULL
2018-05-21 07:20:52.0;NO;-113,7417;-144,13;0;-256,832;-78,1083;NULL
2018-05-21 07:21:12.0;NO;-114,105;-144,7216;23,219942;-256,832;-78,1083;NULL
